"","shname","gid","stid","discname","discid","semnum","sum"
"141","ИС-Б11",222,3849,"Математическая логика и теория алгоритмов",24,3,76
"142","ИС-Б11",222,3849,"Философия",26,3,100
"143","ИС-Б11",222,3849,"Информационные технологии",27,3,84
"144","ИС-Б11",222,3849,"Электротехника и электроника",28,3,84
"145","ИС-Б11",222,3849,"Объектно-ориентированное программирование",45,3,86
"146","ИС-Б11",222,3849,"Архитектура ЭВМ и систем",125,3,80
"147","ИС-Б11",222,3849,"Введение в специальность",171,2,95
"148","ИС-Б11",222,3849,"Учебная практика",339,2,95
"149","ИС-Б11",222,3849,"Программирование на языке высокого уровня",913,2,84
"150","ИС-Б11",222,3849,"История",1114,2,90
"151","ИС-Б11",222,3850,"Иностранный язык",2,2,75
"152","ИС-Б11",222,3850,"Иностранный язык",2,3,81
"153","ИС-Б11",222,3850,"Физическая культура",3,2,85
"154","ИС-Б11",222,3850,"Физическая культура",3,3,88
"155","ИС-Б11",222,3850,"Информатика",6,2,65
"156","ИС-Б11",222,3850,"Математический анализ",12,2,60
"157","ИС-Б11",222,3850,"Математический анализ",12,3,68
"158","ИС-Б11",222,3850,"Физика",14,2,75
"159","ИС-Б11",222,3850,"Физика",14,3,80
"160","ИС-Б11",222,3850,"Дискретная математика",23,2,60
"161","ИС-Б11",222,3850,"Математическая логика и теория алгоритмов",24,3,70
"162","ИС-Б11",222,3850,"Философия",26,3,94
"163","ИС-Б11",222,3850,"Информационные технологии",27,3,84
"164","ИС-Б11",222,3850,"Электротехника и электроника",28,3,77
"165","ИС-Б11",222,3850,"Объектно-ориентированное программирование",45,3,86
"166","ИС-Б11",222,3850,"Архитектура ЭВМ и систем",125,3,90
"167","ИС-Б11",222,3850,"Введение в специальность",171,2,95
"168","ИС-Б11",222,3850,"Учебная практика",339,2,95
"169","ИС-Б11",222,3850,"Программирование на языке высокого уровня",913,2,62
"170","ИС-Б11",222,3850,"История",1114,2,90
"171","ИС-Б11",222,3851,"Иностранный язык",2,2,75
"172","ИС-Б11",222,3851,"Иностранный язык",2,3,82
